Laboratory,Field,Latitude,Longitude,Date collected,Land use,Hg,Al,Ca,Fe,K,Mg,Na,S,Ti,Ag,As,Ba,Be,Bi,Cd,Ce,Co,Cr,Cs,Cu,Ga,In,La,Li,Mn,Mo,Nb,Ni,P,Pb,Rb,Sb,Sc,Sn,Sr,Te,Th,Tl,U,V,W,Y,Zn,Se
number,number,,,,,mg/kg,%,%,%,%,%,%,%,%,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg
C-290100,06co581,38.61599,-105.57715,22-Jun-06,national forest,0.03,6.36,1.01,2.19,2.04,0.4,1.69,0.03,0.28,<1,3,984,2.1,0.22,0.5,100,8.9,26,<5,10.2,14.2,0.06,48.3,13,919,1.07,15,9.1,540,31.2,83.7,0.34,6.6,1.9,248,<0.1,15.2,0.5,3.3,50,0.7,24.4,81,0.2
C-292362,06co582,38.55954,-104.64973,16-Jun-06,idle,0.03,5.44,1.44,2.22,3.27,0.53,1.06,0.06,0.2,<1,7,767,1.9,0.21,0.8,91.7,6.5,31,<5,32.5,13.9,0.05,45.3,23,406,2.26,14.9,16.7,780,33.3,121,0.92,5.8,1.7,190,0.1,13.4,0.7,2.7,75,0.8,22.2,120,0.9
C-285034,06co583,38.59443,-104.21542,16-Jun-06,pasture,<0.02,6.47,0.4,1.49,3.08,0.25,0.78,0.02,0.17,<1,3,765,1.7,0.11,0.3,77,4.9,14,<5,10.2,12.3,0.04,39.7,12,360,0.91,15.7,8.6,430,28.6,117,0.35,4.5,1.4,152,<0.1,12.1,0.6,2.3,36,0.7,17.3,50,<0.2
C-285051,06co584,38.56046,-103.53574,28-Mar-06,open range,0.02,6.43,1.74,2.71,2.3,0.84,0.55,0.11,0.2,<1,6,641,1.7,0.3,0.2,54.3,9,40,7,20,14.5,0.05,29.5,34,322,1.07,9.8,23.1,570,25.3,103,0.68,7.3,1.6,221,<0.1,10.5,0.6,2.6,97,1.1,14.6,76,1.3
C-284730,06co585,38.55556,-103.13747,26-Mar-06,farm,0.02,5.83,1.04,2.57,2.68,0.74,0.7,0.03,0.22,<1,8,746,1.8,0.23,0.4,95.6,9,35,<5,19,14.6,0.05,47.4,26,557,0.9,14.2,19.1,710,23,108,0.72,8.6,1.7,147,<0.1,16,0.7,2.5,76,1,22.2,75,0.3
C-284769,06co586,38.54113,-102.54717,26-Mar-06,farm,<0.02,3.66,0.34,0.75,2.79,0.13,0.77,0.01,0.08,<1,3,862,0.9,0.07,0.1,63.1,2.5,11,<5,4.7,8.43,<0.02,31.9,7,201,0.42,4.9,5.4,250,20.6,107,0.28,2.3,0.5,113,<0.1,9.5,0.6,1.6,23,0.4,10.9,23,<0.2
C-292434,06co587,38.50493,-108.89799,13-Sep-06,BLM,<0.02,3.8,4.95,1.27,2.26,1.76,0.52,0.01,0.13,<1,4,407,1.2,0.08,0.1,34.1,4.8,16,<5,9.4,7.69,0.02,18.9,20,386,0.27,3.1,11.4,400,12.6,69.7,0.3,5.3,0.9,199,<0.1,5.6,0.4,1.3,32,0.4,10.8,28,<0.2
C-285219,06co588,38.50372,-107.93344,22-Jul-06,agriculture,0.03,4.72,3.01,2.07,1.58,0.73,0.53,0.07,0.19,<1,11,521,1.6,0.56,0.9,58.2,8.5,38,6,37.9,12.3,0.06,30.2,31,446,4.21,9.1,21.6,820,80.9,81.3,1.46,8,1.4,200,0.1,9.7,0.8,2.8,82,2.1,15.8,183,0.7
C-289979,06co589,38.48914,-107.83863,22-Jul-06,idle,0.03,6.59,5.49,2.41,1.54,1.65,0.77,0.4,0.24,<1,11,543,1.6,0.37,1.6,51.2,7.9,63,8,31.9,14.2,0.05,27.8,48,275,6.44,8,30.6,"1,180",41.6,93.3,1.76,10,1.7,255,<0.1,9.7,0.9,5.7,173,1.1,15.7,134,5.9
C-292469,06co590,38.44442,-107.63905,22-Jul-06,idle,0.02,7.47,2.35,3.11,1.87,0.83,0.86,0.03,0.25,<1,9,665,2.2,0.28,0.4,69.9,10.6,45,8,20.9,17.1,0.07,35.3,43,506,1.27,12.6,20.9,510,24.5,109,1.31,9.9,2.1,210,<0.1,12.5,0.7,2.2,108,1.5,19.5,87,0.4
