Laboratory,Field,Latitude,Longitude,Date collected,Land use,Hg,Al,Ca,Fe,K,Mg,Na,S,Ti,Ag,As,Ba,Be,Bi,Cd,Ce,Co,Cr,Cs,Cu,Ga,In,La,Li,Mn,Mo,Nb,Ni,P,Pb,Rb,Sb,Sc,Sn,Sr,Te,Th,Tl,U,V,W,Y,Zn,Se
number,number,,,,,mg/kg,%,%,%,%,%,%,%,%,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg
C-284923,06co230,40.04258,-105.78734,13-Jun-06,national forest,0.02,2.9,1.09,2.05,0.8,0.74,0.67,<0.01,0.21,<1,2,234,0.9,0.07,0.1,34.4,9.4,46,<5,8.3,8.19,0.03,16.3,16,413,0.15,6.5,21.2,450,9.9,53.2,0.1,7.9,1.6,134,<0.1,3.3,0.3,0.6,53,0.3,11.7,57,<0.2
C-285107,06co231,40.02959,-104.30107,10-Jun-06,agriculture,<0.02,5.36,0.66,2.03,2.4,0.47,0.87,0.02,0.19,<1,6,717,1.7,0.19,0.4,79.9,8.4,28,<5,13.3,13.2,0.04,38.9,18,443,1.02,9.9,15.3,480,22.1,104,0.56,7.6,1.5,163,<0.1,14.4,0.4,2.6,57,0.8,19.7,56,0.3
C-289946,06co232,40.02658,-103.79254,15-Mar-06,farm,<0.02,6.21,0.95,1.8,2.58,0.59,1.07,0.03,0.25,<1,5,761,1.7,0.16,0.3,79.6,6.3,30,<5,13.7,14,0.04,41.3,21,371,0.72,11.2,14.2,660,22.9,107,0.53,6.8,1.5,159,<0.1,15.4,0.7,3.1,62,0.9,19.1,60,0.2
C-292216,06co233,40.0315,-103.42628,15-Mar-06,farm,<0.02,5.3,0.81,1.78,2.37,0.5,1,0.03,0.23,<1,4,712,1.7,0.17,0.3,83.3,6.3,32,<5,10.5,11.6,0.03,41,19,394,0.75,12,11,530,20.7,91.1,0.6,6.6,1.4,187,<0.1,14.7,0.5,2.8,52,0.9,20.9,51,<0.2
C-284699,06co234,40.02299,-103.11435,15-Mar-06,farm,<0.02,4.83,0.68,1.22,2.75,0.32,1.16,0.02,0.13,<1,3,771,1.5,0.13,0.1,59.2,3.8,17,<5,7.4,11.6,0.02,32,14,248,0.46,7.1,7.5,380,20.1,108,0.39,4.4,0.9,170,<0.1,9.2,0.6,1.8,34,0.6,14.1,36,<0.2
C-284928,06co235,40.02395,-103.05767,15-Mar-06,farm,<0.02,6.76,0.9,2.06,3.14,0.61,1.16,0.03,0.22,<1,6,833,1.9,0.25,0.3,92.3,7.4,66,8,15.3,16,0.04,46.6,24,417,1.37,11.9,20.9,730,27.5,124,0.6,6.9,1.7,195,<0.1,16.3,0.9,2.9,60,1,20.1,80,<0.2
C-285206,06co236,39.95441,-108.2764,9-Sep-06,wildlife area,<0.02,6.31,2.47,2.2,2.34,0.7,2.55,0.03,0.24,<1,6,785,2,0.14,0.2,57,9.4,51,5,12.8,15.2,0.03,31.2,28,478,0.89,10.7,19.1,890,17.3,90.4,0.31,8.1,1.3,270,<0.1,9.4,0.5,2.3,54,1.4,12.5,52,<0.2
C-284703,06co237,40.01137,-107.42754,27-Jul-06,national forest,<0.02,6.05,1.62,4.87,2.16,1.11,1.06,0.04,0.51,<1,6,874,1.6,0.18,0.3,81.4,21.1,109,<5,29.3,15.7,0.05,39.9,29,900,1.06,13.9,58,"1,940",18.2,86.2,0.43,13.2,1.5,337,<0.1,8.7,0.4,2,115,0.9,15.7,110,<0.2
C-284831,06co239,39.98276,-106.35654,25-Jul-06,BLM,0.02,6.01,2.01,2.51,2.11,1.46,0.72,0.03,0.23,<1,7,540,1.7,0.28,0.2,68,8.6,58,7,16.4,14.2,0.05,34.2,34,276,4.56,8.4,22.5,900,21.6,108,0.77,9.7,1.8,115,<0.1,10.6,0.7,2.7,102,1.3,14.6,86,0.4
C-284837,06co240,40.03841,-106.11981,30-Jul-06,state wildlife ,<0.02,8.1,1.18,2.25,2.68,0.42,2.2,0.02,0.2,<1,4,"1,940",1.9,0.23,0.3,143,6,19,<5,13.6,18,0.04,75.1,19,630,1.27,41.9,7.7,840,29.3,117,0.29,5.8,1.6,"1,130",<0.1,20.2,0.7,4.2,51,1.2,16.9,93,<0.2
C-292247,06co241,40.00452,-105.91969,25-Jun-06,national forest,0.06,2.53,0.61,0.65,0.46,0.24,0.37,0.01,0.07,<1,<1,360,0.4,0.07,<0.1,45.8,2.1,10,<5,4,3.36,<0.02,23.1,6,281,0.28,4.5,3.8,150,9.6,24.5,0.09,3.4,0.3,243,<0.1,7.1,0.1,0.9,17,0.3,6.7,19,<0.2
C-292480,06co242,39.99113,-104.99746,14-Jun-06,agriculture,0.02,6.13,1.04,2.61,2.18,0.65,0.87,0.03,0.2,<1,7,621,2,0.23,0.5,72.9,9.4,40,5,20.3,14.4,0.05,35.8,29,478,1.08,10.3,20.1,850,28.5,106,0.82,7.9,1.8,172,<0.1,13,0.7,2.3,78,1.2,17.8,77,0.4
C-284858,06co243,39.98486,-104.50833,14-Jun-06,agriculture,<0.02,5.04,0.91,1.61,2.57,0.42,0.74,0.02,0.17,<1,4,797,1.3,0.12,0.2,73.6,5.5,26,<5,10.5,11,0.03,35.3,16,300,0.67,9.1,11.3,430,22.3,105,0.37,5.3,1.2,140,<0.1,11.9,0.7,2.3,48,0.7,14.5,44,<0.2
C-292282,06co244,39.94588,-102.70375,23-Mar-06,pasture,<0.02,3.6,0.87,0.63,2.85,0.19,1.18,0.02,0.09,<1,2,796,1.3,0.07,0.1,34.9,2,10,<5,6.1,9.37,<0.02,20.8,10,155,0.26,6.2,4.1,300,18.4,96.5,0.66,2.2,0.5,143,<0.1,9.3,0.5,1.2,19,0.4,9.6,21,<0.2
C-285108,06co245,39.94906,-102.29805,18-Mar-06,farm,<0.02,5.57,1.23,1.8,2.65,0.56,1.01,0.03,0.17,<1,5,809,1.8,0.17,0.3,59,5.9,30,<5,12.7,13.1,0.03,33.6,20,355,0.74,14.9,11.8,700,20.7,110,0.51,6.4,1.3,195,<0.1,10.9,0.7,2.3,48,1,17.1,60,0.2
C-284983,06co246,39.98619,-107.96635,9-Sep-06,BLM,0.03,6.32,2.09,3.22,2,0.89,0.55,0.03,0.24,<1,9,814,2.2,0.25,0.3,68.9,11.6,32,7,29,16.3,0.06,36.9,30,571,0.96,9.5,21.6,610,26.6,97.9,1.02,8.8,1.9,164,<0.1,13.4,0.6,3.2,81,1.3,18.4,93,0.3
C-285194,06co247,39.93696,-107.96635,27-Jul-06,BLM,<0.02,4.73,0.93,1.81,1.91,0.52,0.6,0.04,0.17,<1,7,630,1.6,0.19,0.3,56.7,7.2,28,<5,18.7,11.8,0.03,29.9,19,344,0.68,7,14.3,600,24.3,87.3,0.81,6.7,1.2,96.4,<0.1,9.4,0.6,2.1,58,1.2,14,73,0.3
C-284827,06co248,39.89923,-106.99233,26-Jul-06,BLM,<0.02,5.17,1.46,2.05,1.59,0.68,0.58,0.03,0.24,<1,4,787,1.4,0.18,0.2,79.3,8.6,48,<5,14.2,11.9,0.04,37.9,25,352,1.22,7.9,24.7,660,20.7,74.5,0.55,7.7,1.6,178,<0.1,11.4,0.5,2.3,50,0.9,16.8,48,<0.2
C-292477,06co249,39.93192,-106.34107,25-Jul-06,BLM,0.02,6.68,2.15,3.38,1.92,0.59,1,0.03,0.16,<1,17,650,2.2,0.27,3.1,60.6,11.3,60,6,32.2,14.9,0.06,30.6,39,466,10.4,7.3,41.7,750,24.5,100,3.25,8.8,1.6,198,<0.1,10.8,1.2,3.1,192,0.6,16.9,140,2.4
C-285191,06co250,39.89641,-106.3109,25-Jul-06,national forest,<0.02,5.73,0.59,2.73,2.03,0.59,0.71,0.03,0.23,<1,11,665,2,0.37,1.4,66.7,10.1,57,8,26.2,14.8,0.05,34.2,33,520,2.97,10.5,25.6,940,31.8,107,1.39,9.8,1.8,135,<0.1,10.5,0.9,2.8,137,1.2,15,135,1.1
C-292473,06co251,39.89806,-103.99932,24-Mar-06,farm,<0.02,3.91,0.33,1.14,2.07,0.21,0.72,0.02,0.12,<1,3,705,1.1,0.11,0.2,55.7,3.6,18,<5,6.9,8.15,0.02,29.2,12,239,0.5,7.5,6.8,370,14.9,83.8,0.44,3.4,0.7,113,<0.1,9.6,0.5,1.8,33,0.5,12.7,32,<0.2
C-284991,06co252,39.91502,-103.7432,24-Mar-06,farm,<0.02,5.15,1.27,2.02,2.13,0.63,0.81,0.04,0.19,<1,6,689,1.6,0.15,0.3,68.5,6.4,33,<5,14.4,12.2,0.04,37.1,20,403,1.14,10.2,14.5,760,21.5,92.2,0.53,5.8,1.7,166,<0.1,12.9,0.6,2.6,56,0.8,16.7,70,0.3
C-284917,06co253,39.8883,-102.82896,23-Mar-06,pasture,<0.02,3.96,0.5,0.46,2.58,0.11,1.01,0.01,0.06,<1,2,706,1,0.06,<0.1,27,1.4,8,<5,2.9,8.22,<0.02,15.2,6,108,0.16,4.1,3.5,210,17.8,92.7,0.15,1.5,0.6,140,<0.1,4.5,0.5,0.8,12,0.3,6,19,<0.2
C-292177,06co254,39.90984,-102.18512,18-Mar-06,farm,<0.02,6.01,2.07,2.13,2.31,0.73,1.08,0.03,0.25,<1,5,727,1.9,0.18,0.3,78.8,7.4,30,<5,12.9,13.2,0.03,40.8,25,375,0.8,11.5,13.8,610,19.8,90.8,0.7,7.7,1.6,249,<0.1,13.3,0.6,2.5,63,0.8,20.8,55,0.2
C-284753,06co255,39.8563,-108.72814,10-Sep-06,BLM,0.04,5.3,1.89,2.37,1.84,0.87,0.41,0.07,0.17,<1,9,604,1.8,0.34,0.5,69,8.5,50,7,18.8,14.4,0.05,36.7,35,436,1.22,8.3,20.1,"1,100",26.1,101,0.85,9.2,1.8,148,<0.1,10.5,0.7,2.5,86,1.4,17.9,103,0.5
C-289964,06co256,39.86681,-108.29606,9-Sep-06,open range,<0.02,7.26,3.5,2.14,2.16,0.7,3.44,0.04,0.24,<1,8,881,2.3,0.25,0.2,58.5,8.7,54,6,17,16.7,0.03,32.9,24,482,1.66,13.3,21,980,21.8,98.8,0.5,6.8,1.9,312,<0.1,13.5,0.6,2.9,62,0.9,15.5,57,<0.2
C-292203,06co257,39.94893,-107.71429,27-Jul-06,open range,<0.02,4.07,1.46,1.46,1.88,0.45,0.87,0.02,0.15,<1,3,441,1.4,0.14,0.2,53.1,5.4,34,<5,16.3,8.46,<0.02,26.1,21,309,0.33,5,13.8,590,16.4,66.6,0.34,5.7,1.1,106,<0.1,8,0.4,2,34,0.6,13.1,40,<0.2
C-292193,06co258,39.90322,-105.77463,25-Jun-06,national forest,0.03,5.71,0.97,2.93,1.53,0.67,0.75,0.08,0.28,<1,4,862,1.8,0.19,0.5,124,11.2,57,<5,18.4,13.5,0.04,62.3,25,978,1.16,11.6,22.5,780,38.8,85.1,0.67,10.9,17.2,450,<0.1,25,0.5,2.8,64,0.9,21.1,85,0.4
C-284987,06co259,39.921,-105.36822,25-Jun-06,subdivision ,<0.02,8.05,0.86,1.78,3.34,0.3,2.05,0.01,0.16,<1,3,827,3,0.05,<0.1,186,5,18,9,12.2,18.8,0.03,102,25,342,0.87,11.6,10.1,560,40.6,177,0.39,5.3,2.5,272,<0.1,52.1,1.1,10.2,34,2.4,22.1,53,<0.2
C-292317,06co260,39.90679,-105.12868,25-Jun-06,pasture,0.04,6.35,2.84,2.28,1.59,0.64,0.33,0.03,0.27,<1,6,503,2,0.34,0.3,89.2,8.9,50,7,21,15.6,0.05,44.1,35,214,1.07,8,19.6,300,28.5,88.8,0.71,10.1,1.9,142,<0.1,14.7,0.7,2.4,110,0.9,20.7,79,0.2
C-292360,06co261,39.89889,-104.94498,14-Jun-06,open space,0.05,5.51,1.37,2.56,2.17,0.69,0.71,0.05,0.24,<1,10,594,1.7,0.65,0.7,83.9,8.6,43,<5,37.7,13.8,0.07,41.5,30,426,1.31,10.4,20.2,680,56.3,96.3,1.49,8.3,1.7,147,<0.1,14.6,0.6,2.7,81,1.3,20,126,0.4
C-285003,06co262,39.9,-104.80877,14-Jun-06,idle,<0.02,4.27,0.5,1.09,2.72,0.14,1.03,<0.01,0.1,<1,2,784,1.4,0.06,0.2,53,2.6,12,<5,6.8,9.81,0.02,28.4,7,253,0.44,14.8,5,350,25.1,103,0.23,2.5,1,177,<0.1,10.3,0.5,1.8,26,0.6,11.4,26,<0.2
C-284812,06co263,39.89762,-104.37637,14-Jun-06,agriculture,<0.02,5.17,0.4,1.5,2.88,0.31,0.93,0.02,0.19,<1,4,790,1.5,0.16,0.2,110,6.5,28,<5,11,13.1,0.03,50.5,14,318,1.13,10.5,13.9,490,26.5,125,0.37,5.7,1.3,152,<0.1,18.8,0.7,3.8,43,0.8,20.1,43,<0.2
C-290102,06co264,39.88541,-103.51723,24-Mar-06,farm,<0.02,6.01,0.69,1.88,2.39,0.54,0.89,0.03,0.18,<1,5,762,1.7,0.19,0.3,73.6,6.7,32,<5,11.5,12.6,0.03,38.1,20,388,0.73,9.9,13.1,700,20.8,103,0.53,6.3,1.4,153,<0.1,12.8,0.7,2.6,53,0.7,17.3,62,0.2
C-284817,06co265,39.88732,-103.12508,23-Mar-06,farm,<0.02,4.67,0.49,1.02,2.7,0.24,0.97,0.02,0.12,<1,2,820,1.4,0.14,0.2,55.2,3.8,28,<5,7.3,11.1,0.02,30,12,250,0.86,5.4,14.2,430,23.9,114,0.25,3.7,1,145,<0.1,8.6,0.6,1.8,30,0.5,12.3,35,<0.2
C-292357,06co266,39.88808,-102.93514,23-Mar-06,pasture,<0.02,3.32,0.45,0.52,2.71,0.11,1.08,0.01,0.08,<1,1,770,1,0.06,<0.1,45.6,1.5,8,<5,3.5,8.27,<0.02,25.2,6,127,0.21,5.8,2.9,240,20.8,97.4,0.16,1.6,0.4,130,<0.1,8,0.5,1.3,15,0.3,8.7,15,<0.2
C-284796,06co267,39.86086,-102.50013,18-Mar-06,pasture,<0.02,3.72,0.37,0.35,2.51,0.08,0.98,0.01,0.05,<1,<1,727,1,<0.04,<0.1,26.8,1.1,11,<5,2.5,8.18,<0.02,15.4,4,82,0.4,3.2,6.8,300,17.3,104,<0.05,1.2,0.4,131,<0.1,4.4,0.5,0.8,9,0.2,5.7,12,<0.2
C-290013,06co268,39.8293,-108.78147,10-Sep-06,BLM,<0.02,4.21,1.21,1.72,1.47,0.73,0.44,0.04,0.11,1,7,506,1.3,0.2,0.3,47.8,5.3,28,<5,12.4,8.56,0.03,25.3,27,275,0.67,4.7,13.3,670,18.1,69.6,0.56,5.1,1.1,86.8,<0.1,7.6,0.5,2,47,0.6,11.2,58,0.3
C-290099,06co269,39.81963,-108.67243,10-Sep-06,BLM,0.03,4.35,7.25,3.46,1.31,1.3,0.39,0.05,0.14,<1,11,472,1.2,0.16,0.6,44.8,6.7,42,5,16.4,8.52,0.03,24,19,562,2.12,5.2,15.3,"1,000",13.5,60.3,0.86,5.7,1,198,<0.1,7.2,0.4,1.8,62,0.7,13.9,53,0.4
C-292323,06co270,39.83268,-107.95591,27-Jul-06,BLM,<0.02,4.4,0.13,0.5,2.91,0.08,0.12,0.02,0.1,<1,1,868,0.8,0.07,<0.1,62.7,2.4,8,<5,5.5,9.83,<0.02,32.9,8,171,0.23,4.5,3.3,120,17.9,106,0.33,3.4,0.6,69.2,<0.1,7.4,0.6,1.3,26,0.4,10.4,35,<0.2
C-292466,06co271,39.77321,-107.30477,26-Jul-06,national forest,<0.02,3.38,0.86,1.75,2.75,0.38,0.17,0.03,0.12,<1,17,390,1.3,0.13,0.3,52.2,5.2,22,<5,11.9,7.64,0.03,24.2,17,935,2.57,5.4,10.7,590,26.1,70.2,0.41,5.7,1,44.4,<0.1,7,0.7,2.7,36,0.9,19.5,60,0.4
C-285018,06co272,39.74162,-107.01479,26-Jul-06,BLM,<0.02,3.61,10.8,2.02,1.9,2.33,0.63,2.64,0.13,<1,3,439,0.9,0.08,0.3,53.4,7.9,37,<5,17.2,8.03,0.03,27.3,33,388,2.56,4.6,22.7,700,12,61.9,0.25,5.4,1.1,430,<0.1,9,0.3,3.5,49,0.4,12.7,37,0.6
C-292417,06co273,39.87659,-106.89182,26-Jul-06,BLM,<0.02,5.1,1.75,2.3,1.82,0.57,0.91,0.04,0.22,<1,5,533,1.6,0.15,0.4,95.8,7.3,38,<5,12.6,11.7,0.04,48.9,24,355,1.59,10.5,14.9,940,22.1,80.3,0.6,7.1,1.6,218,<0.1,17,0.5,3.2,61,0.9,18.5,70,0.3
C-284815,06co275,39.85157,-106.02396,23-Jun-06,national forest,0.02,5.69,1.24,3.41,1.82,0.87,0.96,0.01,0.25,<1,3,539,1.3,0.22,0.3,73.6,11.9,44,<5,14.1,15.1,0.06,34.3,22,"1,270",1.6,7,30.5,650,29.7,91.6,0.19,13,1.6,157,<0.1,13,0.5,2.4,80,0.7,15.6,80,<0.2
C-285157,06co276,38.8823,-105.36779,25-Jun-06,forest,<0.02,6.33,0.73,1.52,2.96,0.26,1.79,0.01,0.13,<1,2,839,2.3,0.15,0.2,103,4.7,16,<5,10.6,17.1,0.04,54.4,17,391,0.88,8.8,7.3,540,40.3,155,0.2,5.4,2.1,148,<0.1,27,0.9,6,29,1.1,13.4,52,<0.2
C-292320,06co277,39.84122,-104.09419,14-Jun-06,agriculture,<0.02,4.92,0.71,2,2.7,0.47,0.76,0.03,0.22,<1,6,737,1.8,0.18,0.3,79.3,8.5,30,<5,15.2,12.6,0.03,38,21,504,1.06,10.4,14.2,590,22.9,104,0.59,6.8,1.4,131,<0.1,12.6,0.7,2.7,58,0.9,19.9,59,0.4
C-292257,06co278,39.86986,-103.87235,24-Mar-06,farm,0.02,5.69,1.79,2.15,2.46,0.71,0.86,0.04,0.26,<1,6,697,1.7,0.17,0.3,85.7,7.4,37,<5,15.1,12.3,0.03,42.9,24,395,0.89,9.8,15.8,740,19.5,91.2,0.63,7.4,1.6,175,<0.1,14,0.6,2.8,67,0.8,21.5,60,0.4
C-284726,06co279,39.84248,-103.64928,24-Mar-06,farm,0.03,5.39,0.67,2.24,2.43,0.6,0.79,0.03,0.21,<1,6,710,1.6,0.25,0.4,95.3,8.9,33,<5,14.5,13.4,0.04,46.8,24,547,0.96,10.2,16.2,580,23.4,99.6,0.63,8.3,1.6,152,<0.1,14.8,0.7,2.8,64,1,21.3,70,0.3
C-292254,06co280,39.84673,-102.39076,18-Mar-06,open range,<0.02,4.45,0.61,0.83,2.54,0.2,1.16,0.02,0.13,<1,2,776,1.4,0.09,0.1,44.3,2.4,16,<5,4.6,9.22,<0.02,24.9,8,194,0.3,7.4,4.6,280,18.2,87.2,0.25,3,0.7,180,<0.1,8,0.5,1.4,24,0.4,11.5,25,<0.2
C-292375,06co281,39.76646,-107.89586,27-Jul-06,BLM,0.02,5.63,0.71,2.33,2.1,0.59,0.63,0.05,0.2,<1,9,539,1.8,0.27,1.1,54.5,7.7,51,6,20.4,11.9,0.04,28.6,35,361,2.33,8.1,22.3,"1,210",23,98.2,1.12,7.7,1.6,105,<0.1,9.4,0.6,3.2,106,1.1,16.7,110,1.4
C-285116,06co282,39.79226,-107.63225,26-Jul-06,national forest,<0.02,4.36,0.8,1.87,2.54,0.45,0.61,0.04,0.17,<1,10,634,1.2,0.16,0.6,54.8,8,34,<5,15.2,9.88,0.03,25.7,23,730,1.54,6.2,18.1,910,21.9,86.8,0.5,5.6,1,114,<0.1,8.5,0.4,2.4,52,1,11.2,68,0.8
C-292428,06co283,39.76255,-107.313,26-Jul-06,national forest,0.02,5.5,0.63,4.43,3.39,0.7,0.35,0.03,0.2,<1,12,540,2.5,0.23,0.3,98.7,13.1,36,6,15.7,13.9,0.07,43.4,32,"1,630",1.03,8.1,16.8,"2,600",20.1,104,0.5,8.6,1.6,69.8,<0.1,11.9,0.5,3.7,57,1.5,28.9,67,0.3
C-292441,06co284,39.77877,-106.99302,26-Jul-06,BLM,<0.02,5.1,2.91,2.22,2.17,0.8,1.37,0.03,0.22,<1,3,637,1.6,0.13,0.3,78.9,6.7,41,<5,12.5,11.2,0.03,40.4,18,455,1.26,9.4,16.1,"1,020",23.3,81.3,0.38,6.6,1.2,289,<0.1,13,0.5,3.1,58,0.6,16.5,51,<0.2
C-284868,06co285,39.78134,-105.62181,25-Jun-06,national forest,0.03,5.93,1.36,2.27,2.36,0.53,1.54,0.03,0.16,2,2,633,1.5,0.17,0.5,94.6,6.6,37,<5,13.5,13.8,0.07,42.4,13,808,1.53,8.2,14.7,650,66.5,116,0.39,7.9,1.8,150,<0.1,17.9,0.9,3.4,44,1.6,15.9,118,<0.2
C-292231,06co286,39.79895,-105.24868,25-Jun-06,open space,0.02,6.06,0.77,2.54,2.37,0.64,0.65,0.02,0.23,<1,10,585,2.5,0.33,0.2,78.8,9.5,61,8,21.8,13.9,0.04,38,33,420,0.95,15.2,23.9,580,59.5,108,1.43,9.6,2.1,150,<0.1,13.5,1.2,3.2,70,2.5,16.3,72,0.2
C-290093,06co287,39.79865,-104.86678,26-Jun-06,Rocky Mtn. Arsenal,<0.02,5.38,0.74,1.47,2.68,0.25,1.03,0.02,0.12,<1,2,862,1.5,0.1,0.2,73.8,4.8,21,<5,9,11,0.03,36.8,10,300,0.43,10.5,7.5,520,28.6,110,0.24,4.2,1.1,192,<0.1,15.8,0.7,1.8,34,0.6,13,58,<0.2
C-284755,06co288,39.7807,-104.6216,26-Jun-06,pasture,0.02,5.75,0.73,2.31,2.73,0.5,0.79,0.04,0.2,<1,4,703,1.9,0.24,0.4,97.6,8.2,42,<5,19.7,14.9,0.05,47.2,21,481,0.96,12.9,19.3,690,29.6,122,0.53,8.8,2.1,165,<0.1,17.8,0.8,3.4,49,1.4,20.8,81,0.3
C-285229,06co289,39.78551,-104.07681,14-Jun-06,agriculture,<0.02,4.85,0.67,1.22,2.62,0.23,0.97,0.02,0.15,<1,5,891,1.2,0.07,0.2,64.4,3.6,19,<5,7.8,10.3,<0.02,33.2,10,326,0.65,7.3,7.3,420,20.9,114,0.37,3.3,0.9,133,<0.1,12.9,0.6,2.7,33,0.5,15,31,<0.2
C-285065,06co290,39.742,-103.12307,23-Mar-06,farm,<0.02,5.34,1.19,1.76,2.37,0.52,0.97,0.02,0.2,<1,5,714,1.6,0.16,0.3,73.1,6.4,27,<5,13.1,12.6,0.03,40,20,410,0.78,10.4,13.5,530,21.7,92.1,0.5,5.3,1.5,193,<0.1,13.1,0.6,2.5,51,0.8,16.6,48,0.2
C-290094,06co291,39.75705,-102.85839,18-Mar-06,pasture,<0.02,4.53,0.47,0.62,2.31,0.15,0.96,0.01,0.07,<1,1,768,1,0.05,0.1,32,1.9,12,<5,3.9,8.16,<0.02,19.2,7,134,0.2,4.8,3.5,300,18.8,95.8,0.18,1.8,0.5,140,<0.1,5.4,0.6,1,16,0.2,7.4,27,<0.2
C-284767,06co292,39.76088,-102.20049,18-Mar-06,farm,<0.02,5.15,0.95,1.77,2.49,0.51,1.03,0.03,0.18,<1,4,797,1.4,0.18,0.3,64.8,5.8,26,<5,11.5,12.2,0.03,35.3,19,447,0.67,10,11,570,21.3,98.1,0.49,6.2,1.3,197,<0.1,10.4,0.6,2.2,48,0.9,16.9,53,<0.2
C-285043,06co293,39.56295,-108.91289,10-Sep-06,BLM,0.39,5.88,1.23,1.78,1.7,0.58,0.58,0.07,0.19,<1,6,565,2.6,0.21,0.5,58.5,6.8,35,5,88.5,12,0.03,32.7,35,292,1.64,10.2,17.7,650,114,69.6,4.23,6.4,12.5,158,<0.1,12.4,0.5,4.2,61,1.5,16.9,141,0.5
C-290139,06co294,39.74703,-108.66434,10-Sep-06,BLM,<0.02,3.97,2.73,1.87,1.96,0.72,0.5,0.05,0.17,<1,7,782,1.2,0.17,0.3,44.4,6.6,28,<5,21.8,8.48,0.03,23.7,21,468,0.72,6.4,16,530,19.6,73.1,0.99,5.2,1,124,<0.1,7.5,0.5,1.9,63,0.8,13.3,75,0.3
C-285171,06co295,39.74895,-106.03414,23-Jun-06,national forest,<0.02,6.87,0.93,3.94,2.39,0.97,1.01,<0.01,0.31,<1,3,741,3.4,0.1,<0.1,61.2,12.7,67,7,23.8,19.2,0.05,30.9,55,486,0.98,10.9,29.6,720,23.7,136,0.12,14.2,1.9,199,<0.1,9.2,0.9,2.6,92,0.5,10.6,117,<0.2
C-292265,06co296,39.76137,-104.80988,26-Jun-06,idle,<0.02,5.22,0.63,1.45,3.14,0.27,1.17,0.02,0.14,<1,3,919,1.5,0.1,0.2,76.7,4.7,19,<5,12.6,10.8,<0.02,37.2,12,278,1.27,7.7,8.9,510,28.7,108,0.37,4.4,1.2,238,<0.1,13.2,0.6,2.2,38,0.8,13.5,63,<0.2
C-284775,06co297,39.75856,-104.50805,14-Jun-06,agriculture,<0.02,4.71,0.5,1.64,2.74,0.36,0.81,0.03,0.14,<1,5,762,1.2,0.17,0.2,80.9,5.3,25,<5,11.9,11.2,0.03,40.2,16,338,0.73,7.6,11.3,480,25.6,107,0.41,5.4,1.2,149,<0.1,12.9,0.6,2.3,45,0.8,15.5,49,<0.2
C-290146,06co298,39.72842,-102.70753,18-Mar-06,open range,<0.02,4.37,0.51,0.73,3.28,0.11,1.32,0.01,0.14,<1,1,864,1.1,0.05,<0.1,40.6,1.5,10,<5,2.9,8.66,<0.02,22.8,6,170,0.19,9.1,3,<50,19.3,101,0.16,2.1,0.6,160,<0.1,7.6,0.6,1.2,22,0.5,8.8,15,<0.2
C-284694,06co299,39.72587,-102.63215,18-Mar-06,pasture,<0.02,4.6,0.84,1.18,2.79,0.36,0.95,0.04,0.11,<1,3,815,1.3,0.35,0.3,45.7,4,17,<5,9.6,10.9,0.03,26.6,16,257,0.43,6,8.2,510,29.4,108,0.38,4.2,0.7,162,<0.1,7.5,0.6,1.7,31,0.6,13.2,42,0.4
C-290031,06co300,39.66389,-107.62445,26-Jul-06,BLM,<0.02,4.54,2.37,1.26,2.03,0.41,0.91,0.02,0.09,<1,1,502,1.3,0.14,0.1,54.8,4.1,20,<5,8.9,8.48,0.02,27.5,17,253,0.26,3.6,8.7,510,17,78.8,0.18,4.1,1.2,103,<0.1,9.4,0.5,1.8,26,0.4,9.5,34,<0.2
C-285188,06co301,39.66771,-106.94286,25-Jul-06,BLM,<0.02,1.98,16,0.93,0.91,0.61,0.14,9.54,0.07,<1,3,155,0.7,0.1,0.2,23.2,4.8,22,<5,9.2,4.87,<0.02,11.5,17,173,2.94,2.9,11.8,290,9.4,34.3,0.27,3.7,0.6,284,<0.1,3.8,0.2,1.6,27,0.5,6.7,21,0.4
C-290044,06co302,39.70469,-106.72385,25-Jul-06,national forest,<0.02,6.63,3.42,3.46,2.49,2.12,0.94,0.02,0.2,<1,5,499,2.2,0.22,<0.1,73.3,13.8,53,6,22.6,15.8,0.06,32.5,59,413,0.47,7,30.8,800,30.3,101,0.35,11.7,2,302,<0.1,9.1,0.6,5.5,79,2.1,17.2,93,<0.2
C-292354,06co303,39.65304,-106.59201,25-Jul-06,national forest,<0.02,3.92,13.4,1.96,2.11,2.11,0.46,0.05,0.16,<1,5,483,1.2,0.11,0.2,49.3,9,48,<5,16.9,9.45,0.03,24.6,53,362,2.14,5.5,25,630,13.2,67.4,0.5,7.3,1.4,121,<0.1,7,0.5,3.6,56,0.6,15.3,44,0.3
